timestamp,service_type,worker_id,model,AudioDurationSeconds,ChunkAudioSeconds,ChunkCount,ChunkProcessingSeconds,DownloadSeconds,GPUMemoryUsedMB,GPUMemoryUtilizationPercent,GPUPeakMemoryGB,GPUUtilizationPercent,PrepSeconds,RealTimeFactor,RequestRealTimeFactor,RequestTotalSeconds,ThroughputAudioPerSecond,TranscribeSeconds,chunk_index,full_model_name,input_key,total_chunks
2025-12-17 22:10:49.677,chunked,7,nvidia/parakeet-ctc-0.6b,,6.201,,0.07,,4695.0,1.0,,2.0,,0.011,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:49.678,chunked,7,parakeet-ctc-0.6b,276.2,,10,,0.11,,,1.29,,1.2,,0.017,4.75,58.1,3.45,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:50.027,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.065,,4693.0,5.0,,11.0,,0.002,,,,,7,,input/4m36s.wav,10
2025-12-17 22:10:50.366,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4693.0,0.0,,0.0,,0.002,,,,,8,,input/4m36s.wav,10
2025-12-17 22:10:50.687,chunked,0,nvidia/parakeet-ctc-0.6b,,6.201,,0.054,,4647.0,0.0,,0.0,,0.009,,,,,9,,input/4m36s.wav,10
2025-12-17 22:10:50.688,chunked,0,parakeet-ctc-0.6b,276.2,,10,,0.11,,,1.29,,1.23,,0.017,4.8,57.58,3.46,,nvidia/parakeet-ctc-0.6b,input/4m36s.wav,
2025-12-17 22:10:51.232,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.058,,4693.0,4.0,,8.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:51.582,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,1.0,,2.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:51.620,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.064,,4741.0,10.0,,21.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:51.915,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,0.0,,0.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:51.960,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.071,,4741.0,0.0,,0.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:52.252,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.06,,4741.0,3.0,,6.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:52.298,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4741.0,3.0,,6.0,,0.002,,,,,2,,input/4m36s.wav,10
2025-12-17 22:10:52.593,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.058,,4789.0,7.0,,15.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:52.641,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4789.0,11.0,,26.0,,0.002,,,,,3,,input/4m36s.wav,10
2025-12-17 22:10:52.642,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.069,,4789.0,11.0,,26.0,,0.002,,,,,0,,input/4m36s.wav,10
2025-12-17 22:10:52.931,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.059,,4789.0,4.0,,8.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:52.986,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.063,,4789.0,4.0,,8.0,,0.002,,,,,4,,input/4m36s.wav,10
2025-12-17 22:10:52.987,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4789.0,4.0,,8.0,,0.002,,,,,1,,input/4m36s.wav,10
2025-12-17 22:10:53.270,chunked,9,nvidia/parakeet-ctc-0.6b,,30,,0.058,,4789.0,0.0,,1.0,,0.002,,,,,6,,input/4m36s.wav,10
2025-12-17 22:10:53.330,chunked,7,nvidia/parakeet-ctc-0.6b,,30,,0.065,,4789.0,0.0,,1.0,,0.002,,,,,5,,input/4m36s.wav,10
2025-12-17 22:10:53.331,chunked,0,nvidia/parakeet-ctc-0.6b,,30,,0.067,,4789.0,0.0,,1.0,,0.002,,,,,2,,input/4m36s.wav,10
